"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv94","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Moryella"
"asv95","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"asv96","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Nitrobacter"
"asv97","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea"
"asv98","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA
"asv99","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9"
"asv100","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"asv101","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"asv102","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_1"
"asv103","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_3"
"asv104","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis"
"asv105","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea"
"asv106","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA
"asv107","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"asv108","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae",NA
