"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv38",46,46,46,45,46,46,46,45,46,46,46,45,46,46,46,45,46,46,46,45,46,46,46,45,46,46,46,45,46,46,46,45,46,46,46,45,46,46,46,45,46,46,46,45,46,46,46,45
"asv39",135,135,134,134,135,135,134,134,135,135,134,134,135,135,134,134,135,135,134,134,135,135,134,134,135,135,134,134,135,135,134,134,135,135,134,134,135,135,134,134,135,135,134,134,135,135,134,134
"asv40",95,104,55,111,53,43,47,63,89,76,107,92,115,82,108,51,93,104,117,118,114,108,112,46,82,75,64,67,94,60,91,60,76,87,106,125,111,96,108,67,62,108,73,106,104,40,87,118
"asv41",41,41,41,30,41,41,41,30,41,41,41,30,41,41,41,30,41,41,41,30,41,41,41,30,41,41,41,30,41,41,41,30,41,41,41,30,41,41,41,30,41,41,41,30,41,41,41,30
"asv42",108,105,101,101,108,105,101,101,108,105,99,99,108,105,99,101,108,105,101,99,108,105,101,101,108,105,101,101,108,105,101,99,108,105,101,99,108,105,101,101,108,105,101,101,108,105,101,99
"asv43",132,131,131,134,132,131,131,134,132,131,131,134,132,131,131,134,132,131,131,134,132,131,131,134,132,131,131,134,132,131,131,134,132,131,131,134,132,131,131,134,132,131,131,134,132,131,131,134
"asv44",37,37,34,34,37,37,34,34,37,37,34,34,37,37,34,34,37,37,34,34,37,37,34,34,37,37,34,34,37,37,34,34,37,37,34,34,37,37,34,34,37,37,34,34,37,37,34,34
"asv45",55,55,55,53,55,55,55,53,55,55,55,53,55,55,55,53,55,55,55,53,55,55,55,53,55,55,55,53,55,55,55,53,55,55,55,53,55,55,55,53,55,55,55,53,55,55,55,53
"asv46",52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
"asv47",60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
"asv48",62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
"asv49",32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
"asv50",56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
"asv51",31,31,29,29,31,31,29,29,31,31,29,29,31,31,29,29,31,31,29,29,31,31,29,29,31,31,29,29,31,31,29,29,31,31,29,29,31,31,29,29,31,31,29,29,31,31,29,29
"asv52",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"asv53",136,2204,71,136,136,2196,84,115,2204,92,115,136,115,136,115,84,121,121,2210,136,84,136,2204,136,115,102,136,136,136,84,136,136,136,123,115,115,142,136,2152,105,136,136,115,2131,129,2173,136,84
"asv54",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"asv55",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"asv56",126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
"asv57",33,33,37,35,33,33,37,35,33,33,33,39,33,33,37,35,33,33,37,35,33,33,37,35,33,33,37,35,33,33,33,39,33,33,37,39,33,33,33,39,33,33,33,35,33,33,37,39
"asv58",28,0,0,0,28,28,0,28,0,0,28,28,28,0,28,28,0,0,28,0,28,0,0,0,0,0,28,28,0,28,28,0,0,0,0,0,28,0,28,0,28,0,28,28,28,0,0,0
"asv59",28,28,27,0,0,28,0,27,28,28,0,0,0,0,27,0,28,28,0,27,28,28,27,27,28,28,0,27,28,28,0,0,0,28,27,27,0,28,0,27,0,28,27,27,28,0,27,0
"asv60",28,28,28,16,28,28,0,16,28,28,28,16,28,28,28,16,28,28,28,16,28,28,28,16,28,28,28,16,28,28,28,16,28,28,28,16,28,28,28,16,28,28,28,16,28,28,28,16
"asv61",56,77,77,84,56,77,77,84,56,77,77,84,56,77,77,84,56,77,77,84,56,77,77,84,56,77,77,84,56,77,77,84,56,77,77,84,56,77,77,84,56,77,77,84,56,77,77,84
"asv62",28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
"asv63",28,28,42,42,28,28,42,42,28,28,42,42,28,28,42,42,28,28,42,42,28,28,42,42,28,28,42,42,28,28,42,42,28,28,42,42,28,28,42,42,28,28,42,42,28,28,42,42
"asv64",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
"asv65",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
"asv66",41,64,64,58,41,64,64,58,41,64,64,58,41,64,64,58,41,64,64,58,41,64,64,58,41,64,64,58,41,64,64,58,41,64,64,58,41,64,64,58,41,64,64,58,41,64,64,58
"asv67",26,25,32,32,26,25,32,32,26,25,32,32,26,25,32,32,26,25,32,32,26,25,32,32,26,25,32,32,26,25,32,32,26,25,32,32,26,25,32,32,26,25,32,32,26,25,32,32
"asv68",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
"asv69",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"asv70",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"asv71",22,21,21,18,22,21,21,18,22,21,21,18,22,21,21,18,22,21,21,18,22,21,21,18,22,21,21,18,22,21,21,18,22,21,21,18,22,21,21,18,22,21,21,18,22,21,21,18
