"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv106","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"asv107","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Oxalobacter"
"asv108","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dielma"
"asv109","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Ezakiella"
"asv110","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Phocea"
"asv111","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Incertae_Sedis"
"asv112","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas"
"asv113","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus"
"asv114","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
"asv115","Bacteria","Firmicutes",NA,NA,NA,NA
"asv116","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Nissabacter"
"asv117","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA
"asv118","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales",NA,NA
