"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv151",0,0,0,0,0,8,0,0,0,0,8,8,9,0,0,8,8,8,9,11,0
"asv152",0,0,0,0,0,8,0,0,0,0,3,8,8,0,0,7,7,7,7,10,0
"asv153",0,0,0,0,0,8,10,10,9,9,0,9,10,10,10,0,0,0,0,0,0
"asv154",0,0,0,0,0,7,0,0,0,0,9,7,7,0,0,0,0,0,0,0,0
"asv155",0,0,0,0,0,6,0,0,0,0,5,6,7,0,0,6,6,7,7,7,0
"asv156",0,0,0,0,0,6,0,0,0,0,0,6,6,0,0,0,0,6,6,6,0
"asv157",0,0,0,0,0,6,0,0,0,0,6,6,6,0,0,6,6,6,6,6,0
"asv158",0,0,0,0,0,6,0,0,0,0,0,6,5,0,0,0,0,5,4,4,0
"asv159",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv160",0,0,0,0,0,5,0,0,0,0,4,5,6,0,0,4,4,5,6,6,0
"asv161",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"asv162",0,0,0,0,0,5,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
"asv163",0,0,0,0,0,8,8,0,0,0,6,6,6,6,0,6,6,6,6,6,6
"asv164",0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv165",0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,3,3,0
"asv166",0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,3,3,0
"asv167",0,0,0,0,0,3,12,0,0,0,0,0,12,14,0,0,0,0,12,14,14
"asv168",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv169",0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,2,2,0
"asv170",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv171",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv172",0,0,0,0,0,2,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0
"asv173",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"asv174",0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,17,17,2,0,0,0
"asv175",0,0,0,0,0,2,2,6,0,0,0,0,0,7,7,0,0,0,0,7,7
"asv176",0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,12,13,13,13,0,0
"asv177",0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0
"asv178",0,0,0,0,0,0,8,8,8,8,0,0,7,7,7,0,0,0,7,7,7
"asv179",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv180",0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,3,3
"asv181",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2
"asv182",0,0,0,0,0,0,0,5,5,5,7,0,0,5,5,5,5,0,0,5,5
"asv183",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"asv184",0,0,0,0,0,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0
"asv185",0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
"asv186",0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
"asv187",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,11,0
"asv188",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,10,0
"asv189",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0
"asv190",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"asv191",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0
"asv192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,0,12,17
"asv193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
"asv194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"asv195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"asv196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"asv197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"asv198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"asv199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"asv200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"asv201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
