"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv30",44,48,49,49,49,47,47,48,48,48,46,46,46,47,47,42,43,43,43,44,44
"asv31",73,0,0,0,0,92,0,0,0,0,84,91,127,0,0,0,0,0,0,0,0
"asv32",30,0,0,0,0,29,0,0,0,0,27,27,27,0,0,0,0,0,0,0,0
"asv33",33,0,0,0,0,52,0,0,0,0,39,52,54,0,0,0,0,15,15,15,0
"asv34",38,0,0,0,0,49,50,0,0,0,49,49,50,50,0,39,41,49,50,50,50
"asv35",29,112,0,0,0,104,112,114,0,0,60,114,121,122,124,25,59,113,120,122,123
"asv36",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"asv37",21,0,0,0,0,21,0,0,0,0,21,21,21,0,0,21,21,21,21,21,0
"asv38",5,5,5,6,6,5,5,5,6,6,5,5,5,5,6,5,5,5,5,5,6
"asv39",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"asv40",4,4,0,4,4,0,4,4,0,0,0,3,4,0,4,0,0,0,0,4,0
"asv41",8,15,15,15,8,18,25,8,25,15,33,18,26,25,15,12,16,8,6,4,18
"asv42",3,0,0,0,0,2,0,0,0,0,2,2,2,0,0,4,4,4,4,5,0
"asv43",2,2,2,2,2,2,5,2,2,2,2,2,2,5,2,2,5,2,2,2,8
"asv44",2,0,0,0,0,8,8,0,0,0,6,6,6,6,0,0,0,0,0,0,6
"asv45",0,26,21,6,13,2,8,0,0,38,0,5,0,12,7,0,0,5,5,32,6
"asv46",0,17,18,18,0,0,16,17,17,17,0,0,16,17,17,0,0,0,16,17,17
"asv47",0,29,30,31,0,0,60,42,26,32,0,0,0,63,35,5,3,3,5,5,69
"asv48",0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"asv49",0,7,7,8,8,7,7,7,8,8,7,7,7,7,8,7,7,7,7,7,8
"asv50",0,6,6,6,7,7,6,6,6,7,7,7,6,6,6,7,7,7,6,6,6
"asv51",0,4,0,4,0,0,5,0,4,4,0,0,0,5,4,0,0,3,6,0,4
"asv52",0,3,0,0,0,297,0,3,0,0,0,3,3,300,3,0,0,3,0,3,3
"asv53",0,2,2,2,2,0,2,2,2,2,0,0,2,2,2,0,0,0,2,2,2
"asv54",0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,4,0,4
"asv55",0,0,4,0,4,3,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0
"asv56",0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
"asv57",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv58",0,0,0,0,0,46,0,0,0,0,0,46,47,0,0,0,0,48,49,52,0
"asv59",0,0,0,0,0,31,0,0,0,0,0,31,31,0,0,0,0,31,31,32,0
"asv60",0,0,0,0,0,13,0,0,0,0,0,13,18,0,0,0,0,15,21,27,0
"asv61",0,0,0,0,0,12,0,0,0,0,15,12,12,0,0,0,9,9,9,9,0
"asv62",0,0,0,0,0,6,7,0,0,0,0,6,7,7,0,0,0,6,7,7,7
"asv63",0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,2,2,4,4,4,0
"asv64",0,0,0,0,0,7,0,0,0,0,0,7,7,0,0,0,0,3,3,3,0
"asv65",0,0,0,0,0,3,3,0,0,0,3,3,3,3,0,3,3,3,3,3,3
"asv66",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"asv67",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv68",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv69",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"asv70",0,0,0,0,0,0,0,0,0,1646,0,0,0,0,0,0,0,0,0,0,0
"asv71",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"asv72",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,8,0
"asv73",0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,18
