"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv22","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA
"asv23","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa",NA
"asv24","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA
"asv25","Eukaryota","Retaria","Foraminifera","Globothalamea","Rotaliida","Ammonia"
"asv26","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"asv27","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Schlegelella"
"asv28","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"asv29","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus"
"asv30","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"asv31","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"asv32","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae",NA
"asv33","Eukaryota","Retaria",NA,NA,NA,NA
"asv34","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"asv35","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium"
"asv36","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Solobacterium"
"asv37","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"asv38","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Hydrogenophilaceae","Hydrogenophilus"
"asv39","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1"
"asv40","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"asv41","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Cloacibacterium"
"asv42","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"asv43","Bacteria","Proteobacteria",NA,NA,NA,NA
"asv44","Eukaryota","Euglenozoa","Kinetoplastea","Metakinetoplastina","Trypanosomatida",NA
"asv45","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA
"asv46","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"asv47","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Tessaracoccus"
"asv48","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Arsenicicoccus"
"asv49","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Thermomonospora"
"asv50","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Domibacillus"
"asv51","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XII","Exiguobacterium"
"asv52","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XI","Gemella"
"asv53","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"asv54","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
