"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv169","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Caldibacillus"
"asv170","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella"
"asv171","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"asv172","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Asaccharospora"
"asv173","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Thermobacillus"
"asv174","Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA
"asv175","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae",NA
"asv176","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Millisia"
"asv177","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter"
"asv178","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA
"asv179","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Garicola"
"asv180","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA
"asv181","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"asv182","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium"
"asv183","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetitomaculum"
"asv184","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Gracilibacillus"
"asv185","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002"
"asv186","Eukaryota","Retaria",NA,NA,NA,NA
"asv187","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Flaviflexus"
"asv188","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Ornithobacterium"
"asv189","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"asv190","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Crossiella"
"asv191","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"asv192","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter"
"asv193","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-010"
"asv194","Eukaryota","Euglenozoa","Kinetoplastea","Metakinetoplastina",NA,NA
"asv195","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Acidipropionibacterium"
"asv196","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group"
"asv197","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter"
"asv198","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus"
"asv199","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_AD3011_group"
"asv200","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA
"asv201","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055"
"asv202","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudorhizobium"
"asv203","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter"
"asv204","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
