"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv50",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"asv51",10,0,0,0,7,0,2,0,2,0,0,0,10,2,12,0,12,10,9,7,0,1306,17,4,0,0,0,0,5,0,4160,0,10,0,12,0,0,0,0,0,0,0,1306,0,0,0,10,10
"asv52",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"asv53",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"asv54",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"asv55",35,38,1349,43,1344,33,43,43,33,1349,43,37,33,1349,33,46,33,33,1340,38,1344,45,28,1335,40,43,43,43,38,38,45,43,35,43,28,1344,43,38,43,38,46,33,38,43,45,38,33,33
"asv56",21,21,21,12,12,12,21,21,21,21,21,21,3,12,21,12,12,21,21,12,21,21,21,21,21,12,12,21,21,21,21,21,12,21,21,21,21,21,12,12,12,21,21,21,21,12,12,12
"asv57",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"asv58",9,9,8,8,9,9,8,8,9,9,8,8,9,9,8,8,9,9,8,8,9,9,8,8,9,9,8,8,9,9,8,8,9,9,8,8,9,9,8,8,9,9,8,8,9,9,8,8
"asv59",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"asv60",8,16,16,18,8,16,16,18,8,16,16,18,8,16,16,18,8,16,16,18,8,16,16,18,8,16,16,18,8,16,16,18,8,16,16,18,8,16,16,18,8,16,16,18,8,16,16,18
"asv61",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"asv62",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"asv63",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"asv64",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"asv65",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv66",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv67",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv68",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"asv69",5,5,5,7,5,5,5,7,5,5,5,7,5,5,5,7,5,5,5,7,5,5,5,7,5,5,5,7,5,5,5,7,5,5,5,7,5,5,5,7,5,5,5,7,5,5,5,7
"asv70",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"asv71",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"asv72",5,3,5,13,0,19,24,8,32,5,32,0,5,13,5,5,5,5,5,5,24,5,32,32,19,5,13,13,5,0,5,13,32,5,5,0,13,8,13,13,13,13,13,5,24,13,5,5
"asv73",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"asv74",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"asv75",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"asv76",3,5,8,8,2,3,5,2,5,2,5,8,3,3,5,5,2,2,8,8,3,5,8,5,2,5,5,8,3,2,3,8,5,5,8,6,0,5,3,5,2,3,3,8,5,3,8,5
"asv77",2,2,2,34,2,2,2,34,2,2,2,34,2,2,2,34,2,2,2,34,2,2,0,2,2,0,2,32,2,2,2,34,2,2,2,34,2,2,2,34,2,2,2,34,2,2,2,32
"asv78",2,0,0,0,2,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,2,0,2,2,2,0,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,0,0,0,2,0,0
"asv79",2,0,0,0,3,2,3,6,0,3,3,3,2,2,6,3,3,3,3,3,2,0,0,3,3,0,3,3,2,3,5,0,0,0,3,5,5,0,5,6,3,2,5,0,0,2,3,3
"asv80",2,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"asv81",1,3,3,5,1,3,3,5,1,3,3,5,1,3,3,5,1,3,3,5,1,3,3,5,1,3,3,5,1,3,3,5,1,3,3,5,1,3,3,5,1,3,3,5,1,3,3,5
"asv82",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"asv83",0,9,9,9,1,9,9,9,1,9,9,9,1,9,9,9,0,9,9,9,1,9,9,9,1,9,9,9,0,9,9,9,0,9,9,9,1,9,9,9,0,9,9,9,1,9,9,9
"asv84",0,5,5,8,0,5,5,8,0,5,5,8,0,5,5,8,0,5,5,6,0,5,5,8,0,5,5,8,0,5,5,8,0,5,5,8,0,5,5,8,0,5,5,8,0,5,5,8
"asv85",0,3,12,12,0,3,12,12,0,3,12,12,0,3,12,12,0,3,12,12,0,3,12,12,0,3,12,12,0,3,12,12,0,3,12,12,0,3,12,12,0,3,12,12,0,3,12,12
"asv86",0,2,2,2,0,0,2,0,0,0,0,2,2,0,0,0,0,2,2,2,0,0,0,0,0,2,2,0,2,2,0,0,2,0,2,2,0,2,0,2,0,0,2,2,2,0,0,2
"asv87",0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"asv88",0,0,10,11,0,0,10,11,0,0,10,11,0,0,10,11,0,0,10,11,0,0,10,11,0,0,10,11,0,0,10,11,0,0,10,10,0,0,10,11,0,0,10,11,0,0,10,11
"asv89",0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4
"asv90",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0
"asv91",0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2
