"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv31",43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
"asv32",40,40,39,39,40,40,39,39,40,40,39,39,40,40,39,39,40,40,39,39,40,40,39,39,40,40,39,39,40,40,39,39,40,40,39,39,40,40,39,39,40,40,39,39,40,40,39,39
"asv33",39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
"asv34",67,66,66,66,67,66,66,66,67,66,66,66,67,66,66,66,67,66,66,66,67,66,66,66,67,66,66,66,67,66,66,66,67,66,66,66,67,66,66,66,67,66,66,66,67,66,66,66
"asv35",35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
"asv36",35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
"asv37",35,12,8,8,35,12,8,8,35,12,8,8,35,12,8,8,35,12,8,8,35,12,8,8,35,12,8,8,35,12,8,8,35,12,8,8,35,12,8,8,35,12,8,8,35,12,8,8
"asv38",33,44,47,42,33,44,47,42,33,44,47,42,33,44,47,42,33,44,47,42,33,44,47,42,33,44,47,42,33,44,47,42,33,44,47,42,33,44,47,42,33,44,47,42,33,44,47,42
"asv39",32,32,41,31,32,32,41,31,32,32,41,31,32,32,41,31,32,32,41,31,32,32,41,31,32,32,41,31,32,32,41,31,32,32,41,31,32,32,41,31,32,32,41,31,32,32,41,31
"asv40",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"asv41",31,34,34,34,31,34,34,34,31,34,34,34,31,34,34,34,31,34,34,34,31,34,34,34,31,34,34,34,31,34,34,34,31,34,34,34,31,34,34,34,31,34,34,34,31,34,34,34
"asv42",42,40,45,41,42,40,45,45,42,40,45,45,42,40,45,45,42,40,45,45,42,40,45,41,42,40,45,45,42,40,45,45,42,40,41,45,42,40,45,45,42,30,45,45,42,40,45,45
"asv43",55,58,63,62,55,58,63,62,55,58,63,62,55,58,63,62,55,58,63,62,55,58,63,62,55,58,63,62,55,58,63,62,55,58,63,62,55,58,63,62,55,58,63,62,55,58,63,62
"asv44",75,79,79,80,75,79,79,80,75,79,79,80,75,79,79,80,75,79,79,80,75,79,79,80,75,79,79,80,75,79,79,80,75,79,79,80,75,79,79,80,75,79,79,80,75,79,79,80
"asv45",29,47,47,41,29,47,47,41,29,47,47,41,29,47,47,41,29,47,47,41,29,47,47,41,29,47,47,41,29,47,47,41,29,47,47,41,29,47,47,41,29,47,47,41,29,47,47,41
"asv46",64,80,80,78,64,80,80,78,64,80,80,78,64,80,80,78,64,80,80,78,64,80,80,78,64,80,80,78,64,80,80,78,64,80,80,78,64,80,80,78,64,80,80,78,64,80,80,78
"asv47",28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
