"trackID","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track18","140892","102589","101914","101846","5223","5168","4","93","Truncq_7","rmphix_TRUE","MaxEE_1-1","TruncLen_210-190"
"track19","140892","102589","101914","101846","5223","5168","5","92","Truncq_11","rmphix_TRUE","MaxEE_1-1","TruncLen_210-190"
"track20","140892","24401","24112","24164","1803","1803","2","34","Truncq_15","rmphix_TRUE","MaxEE_1-1","TruncLen_210-190"
"track21","140892","111165","110592","110263","4982","4916","4","76","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_180-160"
"track22","140892","111165","110592","110263","4982","4916","3","77","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_180-160"
"track23","140892","111165","110592","110263","4982","4916","3","77","Truncq_7","rmphix_TRUE","MaxEE_1-1","TruncLen_180-160"
"track24","140892","111165","110592","110263","4982","4916","3","77","Truncq_11","rmphix_TRUE","MaxEE_1-1","TruncLen_180-160"
"track25","140892","39171","38850","38878","2489","2489","0","32","Truncq_15","rmphix_TRUE","MaxEE_1-1","TruncLen_180-160"
"track26","140892","68474","67774","67529","61277","51834","109","82","Truncq_2","rmphix_FALSE","MaxEE_1-1","TruncLen_0-0"
"track27","140892","68474","67774","67529","61277","51834","111","80","Truncq_4","rmphix_FALSE","MaxEE_1-1","TruncLen_0-0"
"track28","140892","68474","67774","67529","61277","51834","109","82","Truncq_7","rmphix_FALSE","MaxEE_1-1","TruncLen_0-0"
"track29","140892","68474","67774","67529","61277","51834","109","82","Truncq_11","rmphix_FALSE","MaxEE_1-1","TruncLen_0-0"
"track30","140892","129059","127878","128939","4324","4324","0","21","Truncq_15","rmphix_FALSE","MaxEE_1-1","TruncLen_0-0"
"track31","140892","33221","32590","32696","30205","24983","143","77","Truncq_2","rmphix_FALSE","MaxEE_1-1","TruncLen_250-230"
"track32","140892","33221","32590","32696","30205","24983","143","77","Truncq_4","rmphix_FALSE","MaxEE_1-1","TruncLen_250-230"
"track33","140892","33221","32590","32696","30205","24983","143","77","Truncq_7","rmphix_FALSE","MaxEE_1-1","TruncLen_250-230"
"track34","140892","33221","32590","32696","30205","24983","143","77","Truncq_11","rmphix_FALSE","MaxEE_1-1","TruncLen_250-230"
"track35","140892","2767","2679","2683","2447","2336","46","11","Truncq_15","rmphix_FALSE","MaxEE_1-1","TruncLen_250-230"
"track36","140892","94777","94084","94134","4733","4681","11","82","Truncq_2","rmphix_FALSE","MaxEE_1-1","TruncLen_230-210"
"track37","140892","94777","94084","94134","4733","4681","12","81","Truncq_4","rmphix_FALSE","MaxEE_1-1","TruncLen_230-210"
"track38","140892","94777","94084","94134","4733","4681","11","82","Truncq_7","rmphix_FALSE","MaxEE_1-1","TruncLen_230-210"
"track39","140892","94777","94084","94134","4733","4681","12","81","Truncq_11","rmphix_FALSE","MaxEE_1-1","TruncLen_230-210"
"track40","140892","13656","13429","13523","832","832","2","26","Truncq_15","rmphix_FALSE","MaxEE_1-1","TruncLen_230-210"
"track41","140892","102589","101914","101846","5223","5168","4","93","Truncq_2","rmphix_FALSE","MaxEE_1-1","TruncLen_210-190"
"track42","140892","102589","101914","101846","5223","5168","4","93","Truncq_4","rmphix_FALSE","MaxEE_1-1","TruncLen_210-190"
"track43","140892","102589","101914","101846","5223","5168","4","93","Truncq_7","rmphix_FALSE","MaxEE_1-1","TruncLen_210-190"
"track44","140892","102589","101914","101846","5223","5168","5","92","Truncq_11","rmphix_FALSE","MaxEE_1-1","TruncLen_210-190"
"track45","140892","24401","24112","24164","1803","1803","2","34","Truncq_15","rmphix_FALSE","MaxEE_1-1","TruncLen_210-190"
"track46","140892","111165","110592","110263","4982","4916","3","77","Truncq_2","rmphix_FALSE","MaxEE_1-1","TruncLen_180-160"
