trackID,filtered,denoisedF,denoisedR,merged,nonchim,assignes,badassignes,PRM_TRUNCQ,PRM_RMPHIX,PRM_MAXEE,Trunclen
track104,104664,104282,104134,101857,93810,18,57,Truncq_11,rmphix_TRUE,MaxEE_3-3,TruncLen_0-0
track105,113927,113479,113862,1782,1782,2,16,Truncq_15,rmphix_TRUE,MaxEE_3-3,TruncLen_0-0
track106,106722,106419,106288,105657,97172,27,37,Truncq_2,rmphix_TRUE,MaxEE_3-3,TruncLen_250-230
track107,106722,106419,106288,105657,97172,27,37,Truncq_4,rmphix_TRUE,MaxEE_3-3,TruncLen_250-230
track108,106722,106419,106288,105657,97172,27,37,Truncq_7,rmphix_TRUE,MaxEE_3-3,TruncLen_250-230
track109,106722,106419,106288,105657,97172,27,37,Truncq_11,rmphix_TRUE,MaxEE_3-3,TruncLen_250-230
track110,11268,11239,11235,11208,10007,5,5,Truncq_15,rmphix_TRUE,MaxEE_3-3,TruncLen_250-230
track111,110960,110633,110514,1993,1991,7,41,Truncq_2,rmphix_TRUE,MaxEE_3-3,TruncLen_230-210
track112,110960,110633,110514,1993,1991,7,41,Truncq_4,rmphix_TRUE,MaxEE_3-3,TruncLen_230-210
track113,110960,110633,110514,1993,1991,7,41,Truncq_7,rmphix_TRUE,MaxEE_3-3,TruncLen_230-210
track114,110960,110633,110514,1993,1991,8,40,Truncq_11,rmphix_TRUE,MaxEE_3-3,TruncLen_230-210
track115,16365,16296,16307,322,322,0,10,Truncq_15,rmphix_TRUE,MaxEE_3-3,TruncLen_230-210
track116,114065,113715,113529,2160,2151,8,46,Truncq_2,rmphix_TRUE,MaxEE_3-3,TruncLen_210-190
track117,114065,113715,113529,2160,2151,8,46,Truncq_4,rmphix_TRUE,MaxEE_3-3,TruncLen_210-190
track118,114065,113715,113529,2160,2151,9,45,Truncq_7,rmphix_TRUE,MaxEE_3-3,TruncLen_210-190
track119,114065,113715,113529,2160,2151,8,46,Truncq_11,rmphix_TRUE,MaxEE_3-3,TruncLen_210-190
track120,25380,25279,25296,695,692,4,15,Truncq_15,rmphix_TRUE,MaxEE_3-3,TruncLen_210-190
track121,118101,117522,117173,2096,2092,5,45,Truncq_2,rmphix_TRUE,MaxEE_3-3,TruncLen_180-160
track122,118101,117522,117173,2096,2092,6,44,Truncq_4,rmphix_TRUE,MaxEE_3-3,TruncLen_180-160
track123,118101,117522,117173,2096,2092,5,45,Truncq_7,rmphix_TRUE,MaxEE_3-3,TruncLen_180-160
track124,118101,117522,117173,2096,2092,5,45,Truncq_11,rmphix_TRUE,MaxEE_3-3,TruncLen_180-160
track125,39338,39235,39223,996,994,3,26,Truncq_15,rmphix_TRUE,MaxEE_3-3,TruncLen_180-160
track126,104664,104282,104134,101857,93810,20,55,Truncq_2,rmphix_FALSE,MaxEE_3-3,TruncLen_0-0
track127,104664,104282,104134,101857,93810,20,55,Truncq_4,rmphix_FALSE,MaxEE_3-3,TruncLen_0-0
track128,104664,104282,104134,101857,93810,18,57,Truncq_7,rmphix_FALSE,MaxEE_3-3,TruncLen_0-0
track129,104664,104282,104134,101857,93810,20,55,Truncq_11,rmphix_FALSE,MaxEE_3-3,TruncLen_0-0
track130,113927,113479,113862,1782,1782,2,16,Truncq_15,rmphix_FALSE,MaxEE_3-3,TruncLen_0-0
track131,106722,106419,106288,105657,97172,28,36,Truncq_2,rmphix_FALSE,MaxEE_3-3,TruncLen_250-230
track132,106722,106419,106288,105657,97172,27,37,Truncq_4,rmphix_FALSE,MaxEE_3-3,TruncLen_250-230
track133,106722,106419,106288,105657,97172,27,37,Truncq_7,rmphix_FALSE,MaxEE_3-3,TruncLen_250-230
track134,106722,106419,106288,105657,97172,28,36,Truncq_11,rmphix_FALSE,MaxEE_3-3,TruncLen_250-230
track135,11268,11239,11235,11208,10007,6,4,Truncq_15,rmphix_FALSE,MaxEE_3-3,TruncLen_250-230
track136,110960,110633,110514,1993,1991,7,41,Truncq_2,rmphix_FALSE,MaxEE_3-3,TruncLen_230-210
track137,110960,110633,110514,1993,1991,8,40,Truncq_4,rmphix_FALSE,MaxEE_3-3,TruncLen_230-210
track138,110960,110633,110514,1993,1991,8,40,Truncq_7,rmphix_FALSE,MaxEE_3-3,TruncLen_230-210
