"track"	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"	"assignes"	"badassignes"	"PRM_TRUNCQ"	"PRM_RMPHIX"	"PRM_MAXEE"	"PRM_TRUNCLEN"	"pFiltered"	"pDenoisedF"	"pDenoisedR"	"pMerged"	"pNonchim"	"Klebsiella"	"Citrobacter"	"Lelliottia"	"Streptococcus"	"Prevotella_7"	"Fusobacterium"	"Raoultella"	"Granulicatella"	"Bergeyella"	"Veillonella"	"Prevotella_6"	"Enterococcus"	"Lactobacillus"	"Gemella"	"Campylobacter"	"Leptotrichia"	"Atopobium"	"Prevotella"	"Oribacterium"	"Megasphaera"	"Bifidobacterium"	"Stomatobaculum"	"Porphyromonas"	"Neisseria"	"Haemophilus"	"Actinobacillus"	"Parvimonas"	"Geobacillus"	"Enterobacter"	"Kingella"	"Capnocytophaga"	"Bacillus"	"Dialister"	"Treponema_2"	"Mycoplasma"	"Mogibacterium"	"Shuttleworthia"	"Alloprevotella"	"Anaerobacillus"	"Rothia"	"Actinomyces"	"Escherichia/Shigella"	"Cutibacterium"	"Pseudoscardovia"	"Selenomonas_3"	"Ochrobactrum"	"Corynebacterium"	"Samsonia"	"Atlantibacter"	"Tannerella"	"Prevotellaceae_YAB2003_group"	"Distigma"	"Atopobacter"	"Solobacterium"	"Hydrogenophilus"	"Slackia"	"Melissococcus"	"Enterobacillus"	"Anthococcus"
"track11"	"track11"	140892	94777	94084	94134	4733	4681	11	82	"Truncq_2"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_230-210"	67.2692558839395	66.7773897737274	66.8128779490674	3.3593106776822	3.32240297532862	3	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track12"	"track12"	140892	94777	94084	94134	4733	4681	11	82	"Truncq_4"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_230-210"	67.2692558839395	66.7773897737274	66.8128779490674	3.3593106776822	3.32240297532862	3	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track13"	"track13"	140892	94777	94084	94134	4733	4681	11	82	"Truncq_7"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_230-210"	67.2692558839395	66.7773897737274	66.8128779490674	3.3593106776822	3.32240297532862	3	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track14"	"track14"	140892	94777	94084	94134	4733	4681	11	82	"Truncq_11"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_230-210"	67.2692558839395	66.7773897737274	66.8128779490674	3.3593106776822	3.32240297532862	3	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track15"	"track15"	140892	13656	13429	13523	832	832	0	27	"Truncq_15"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_230-210"	9.69253044885444	9.53141413281095	9.5981319024501	0.590523237657213	0.590523237657213	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track16"	"track16"	140892	102589	101914	101846	5223	5168	4	93	"Truncq_2"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_210-190"	72.8139283990574	72.3348380319677	72.2865741135054	3.70709479601397	3.66805780313999	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track17"	"track17"	140892	102589	101914	101846	5223	5168	5	92	"Truncq_4"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_210-190"	72.8139283990574	72.3348380319677	72.2865741135054	3.70709479601397	3.66805780313999	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track18"	"track18"	140892	102589	101914	101846	5223	5168	4	93	"Truncq_7"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_210-190"	72.8139283990574	72.3348380319677	72.2865741135054	3.70709479601397	3.66805780313999	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track19"	"track19"	140892	102589	101914	101846	5223	5168	5	92	"Truncq_11"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_210-190"	72.8139283990574	72.3348380319677	72.2865741135054	3.70709479601397	3.66805780313999	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"track20"	"track20"	140892	24401	24112	24164	1803	1803	2	34	"Truncq_15"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_210-190"	17.3189393294154	17.1138176759504	17.1507253783039	1.27970360275956	1.27970360275956	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
