trackID,filtered,denoisedF,denoisedR,merged,nonchim,assignes,badassignes,PRM_TRUNCQ,PRM_RMPHIX,PRM_MAXEE,Trunclen
track96,127640,126872,126155,5678,5606,3,81,Truncq_2,rmphix_FALSE,MaxEE_2-2,TruncLen_180-160
track97,127640,126872,126155,5678,5606,4,80,Truncq_4,rmphix_FALSE,MaxEE_2-2,TruncLen_180-160
track98,127640,126872,126155,5678,5606,3,81,Truncq_7,rmphix_FALSE,MaxEE_2-2,TruncLen_180-160
track99,127640,126872,126155,5678,5606,3,81,Truncq_11,rmphix_FALSE,MaxEE_2-2,TruncLen_180-160
track100,39171,38850,38878,2489,2489,0,32,Truncq_15,rmphix_FALSE,MaxEE_2-2,TruncLen_180-160
track101,116381,115112,114074,86762,70737,123,84,Truncq_2,rmphix_TRUE,MaxEE_3-3,TruncLen_0-0
track102,116381,115112,114074,86762,70737,124,83,Truncq_4,rmphix_TRUE,MaxEE_3-3,TruncLen_0-0
track103,116381,115112,114074,86762,70737,124,83,Truncq_7,rmphix_TRUE,MaxEE_3-3,TruncLen_0-0
track104,116381,115112,114074,86762,70737,123,84,Truncq_11,rmphix_TRUE,MaxEE_3-3,TruncLen_0-0
track105,129060,127879,128940,4324,4324,2,20,Truncq_15,rmphix_TRUE,MaxEE_3-3,TruncLen_0-0
track106,49117,48167,47940,43610,35348,159,84,Truncq_2,rmphix_TRUE,MaxEE_3-3,TruncLen_250-230
track107,49117,48167,47940,43610,35348,160,83,Truncq_4,rmphix_TRUE,MaxEE_3-3,TruncLen_250-230
track108,49117,48167,47940,43610,35348,160,83,Truncq_7,rmphix_TRUE,MaxEE_3-3,TruncLen_250-230
track109,49117,48167,47940,43610,35348,159,84,Truncq_11,rmphix_TRUE,MaxEE_3-3,TruncLen_250-230
track110,2767,2679,2683,2447,2336,47,10,Truncq_15,rmphix_TRUE,MaxEE_3-3,TruncLen_250-230
track111,125536,124385,124129,6138,6073,12,90,Truncq_2,rmphix_TRUE,MaxEE_3-3,TruncLen_230-210
track112,125536,124385,124129,6138,6073,12,90,Truncq_4,rmphix_TRUE,MaxEE_3-3,TruncLen_230-210
track113,125536,124385,124129,6138,6073,11,91,Truncq_7,rmphix_TRUE,MaxEE_3-3,TruncLen_230-210
track114,125536,124385,124129,6138,6073,11,91,Truncq_11,rmphix_TRUE,MaxEE_3-3,TruncLen_230-210
track115,13656,13429,13523,832,832,2,26,Truncq_15,rmphix_TRUE,MaxEE_3-3,TruncLen_230-210
track116,129979,128863,128439,6428,6360,3,97,Truncq_2,rmphix_TRUE,MaxEE_3-3,TruncLen_210-190
track117,129979,128863,128439,6428,6360,3,97,Truncq_4,rmphix_TRUE,MaxEE_3-3,TruncLen_210-190
track118,129979,128863,128439,6428,6360,3,97,Truncq_7,rmphix_TRUE,MaxEE_3-3,TruncLen_210-190
track119,129979,128863,128439,6428,6360,3,97,Truncq_11,rmphix_TRUE,MaxEE_3-3,TruncLen_210-190
track120,24401,24112,24164,1803,1803,2,34,Truncq_15,rmphix_TRUE,MaxEE_3-3,TruncLen_210-190
track121,135998,134621,133879,5856,5784,4,80,Truncq_2,rmphix_TRUE,MaxEE_3-3,TruncLen_180-160
track122,135998,134621,133879,5856,5784,5,79,Truncq_4,rmphix_TRUE,MaxEE_3-3,TruncLen_180-160
track123,135998,134621,133879,5856,5784,5,79,Truncq_7,rmphix_TRUE,MaxEE_3-3,TruncLen_180-160
track124,135998,134621,133879,5856,5784,5,79,Truncq_11,rmphix_TRUE,MaxEE_3-3,TruncLen_180-160
track125,39171,38850,38878,2489,2489,0,32,Truncq_15,rmphix_TRUE,MaxEE_3-3,TruncLen_180-160
track126,116381,115112,114074,86762,70737,123,84,Truncq_2,rmphix_FALSE,MaxEE_3-3,TruncLen_0-0
track127,116381,115112,114074,86762,70737,123,84,Truncq_4,rmphix_FALSE,MaxEE_3-3,TruncLen_0-0
track128,116381,115112,114074,86762,70737,123,84,Truncq_7,rmphix_FALSE,MaxEE_3-3,TruncLen_0-0
track129,116381,115112,114074,86762,70737,123,84,Truncq_11,rmphix_FALSE,MaxEE_3-3,TruncLen_0-0
track130,129060,127879,128940,4324,4324,3,19,Truncq_15,rmphix_FALSE,MaxEE_3-3,TruncLen_0-0
track131,49117,48167,47940,43610,35348,160,83,Truncq_2,rmphix_FALSE,MaxEE_3-3,TruncLen_250-230
track132,49117,48167,47940,43610,35348,159,84,Truncq_4,rmphix_FALSE,MaxEE_3-3,TruncLen_250-230
track133,49117,48167,47940,43610,35348,160,83,Truncq_7,rmphix_FALSE,MaxEE_3-3,TruncLen_250-230
track134,49117,48167,47940,43610,35348,160,83,Truncq_11,rmphix_FALSE,MaxEE_3-3,TruncLen_250-230
track135,2767,2679,2683,2447,2336,47,10,Truncq_15,rmphix_FALSE,MaxEE_3-3,TruncLen_250-230
track136,125536,124385,124129,6138,6073,12,90,Truncq_2,rmphix_FALSE,MaxEE_3-3,TruncLen_230-210
track137,125536,124385,124129,6138,6073,12,90,Truncq_4,rmphix_FALSE,MaxEE_3-3,TruncLen_230-210
track138,125536,124385,124129,6138,6073,11,91,Truncq_7,rmphix_FALSE,MaxEE_3-3,TruncLen_230-210
track139,125536,124385,124129,6138,6073,11,91,Truncq_11,rmphix_FALSE,MaxEE_3-3,TruncLen_230-210
track140,13656,13429,13523,832,832,0,27,Truncq_15,rmphix_FALSE,MaxEE_3-3,TruncLen_230-210
track141,129979,128863,128439,6428,6360,4,96,Truncq_2,rmphix_FALSE,MaxEE_3-3,TruncLen_210-190
track142,129979,128863,128439,6428,6360,3,97,Truncq_4,rmphix_FALSE,MaxEE_3-3,TruncLen_210-190
track143,129979,128863,128439,6428,6360,3,97,Truncq_7,rmphix_FALSE,MaxEE_3-3,TruncLen_210-190
track144,129979,128863,128439,6428,6360,4,96,Truncq_11,rmphix_FALSE,MaxEE_3-3,TruncLen_210-190
track145,24401,24112,24164,1803,1803,0,35,Truncq_15,rmphix_FALSE,MaxEE_3-3,TruncLen_210-190
track146,135999,134622,133879,5856,5784,5,79,Truncq_2,rmphix_FALSE,MaxEE_3-3,TruncLen_180-160
track147,135999,134622,133879,5856,5784,4,80,Truncq_4,rmphix_FALSE,MaxEE_3-3,TruncLen_180-160
track148,135999,134622,133879,5856,5784,4,80,Truncq_7,rmphix_FALSE,MaxEE_3-3,TruncLen_180-160
track149,135999,134622,133879,5856,5784,4,80,Truncq_11,rmphix_FALSE,MaxEE_3-3,TruncLen_180-160
track150,39171,38850,38878,2489,2489,0,32,Truncq_15,rmphix_FALSE,MaxEE_3-3,TruncLen_180-160
