"table_taxa[, 1]","track1","track2","track3","track4","track5"
"asv128",13,0,0,0,0
"asv129",37,16,16,0,0
"asv130",13,13,13,13,0
"asv131",17,17,17,13,0
"asv132",16,16,16,12,0
"asv133",12,12,12,0,0
"asv134",12,12,12,0,0
"asv135",12,12,12,12,0
"asv136",12,12,12,0,0
"asv137",12,0,0,0,0
"asv138",12,12,12,0,0
"asv139",12,12,12,12,0
"asv140",11,11,11,0,0
"asv141",11,11,11,11,0
"asv142",11,11,11,0,0
"asv143",11,11,11,11,0
"asv144",11,11,11,11,0
"asv145",11,11,11,11,0
"asv146",11,11,11,11,0
"asv147",11,11,11,0,0
"asv148",20,20,20,20,0
"asv149",10,10,10,10,0
"asv150",12,2,0,0,0
"asv151",10,10,10,10,0
"asv152",10,10,10,10,0
"asv153",10,10,10,0,0
"asv154",9,9,9,9,0
"asv155",9,9,9,0,0
"asv156",13,0,0,0,0
"asv157",14,14,14,14,0
"asv158",11,0,0,0,0
"asv159",9,0,0,0,0
"asv160",9,9,9,9,0
"asv161",9,9,9,9,0
"asv162",8,0,0,0,0
"asv163",8,2,0,0,0
"asv164",8,8,8,8,0
"asv165",8,0,0,0,0
"asv166",7,0,0,0,0
"asv167",7,7,7,7,0
"asv168",7,0,0,0,0
"asv169",7,7,7,7,0
"asv170",6,6,6,6,0
"asv171",6,0,0,0,0
"asv172",6,6,6,6,0
"asv173",6,6,6,0,0
"asv174",6,6,6,6,0
"asv175",6,6,0,0,0
"asv176",6,6,6,6,0
"asv177",8,5,0,0,0
"asv178",5,5,5,5,0
"asv179",5,5,0,0,0
"asv180",5,0,0,0,0
"asv181",5,5,5,22,0
"asv182",5,0,0,0,0
"asv183",5,0,0,0,0
"asv184",5,0,0,0,0
"asv185",9,0,0,0,0
"asv186",4,4,4,4,0
"asv187",4,0,0,0,0
"asv188",4,0,0,0,0
"asv189",4,0,2,42,0
"asv190",4,0,0,0,0
"asv191",4,4,4,0,0
"asv192",3,3,3,3,0
"asv193",3,3,3,0,0
"asv194",3,0,0,0,0
"asv195",3,0,0,0,0
"asv196",3,3,3,0,0
"asv197",3,0,0,0,0
"asv198",3,3,3,3,0
"asv199",3,3,0,0,0
"asv200",3,0,0,0,0
"asv201",3,0,0,0,0
"asv202",3,0,0,0,0
"asv203",2,2,0,0,0
"asv204",2,0,0,0,0
"asv205",2,2,2,0,0
"asv206",2,2,0,0,0
"asv207",4,0,0,0,0
"asv208",2,0,0,0,0
"asv209",0,12,2089,0,0
"asv210",0,6,0,0,0
"asv211",0,4,4,22,0
"asv212",0,3,5,14,0
"asv213",0,0,28,59,0
"asv214",0,0,28,28,0
"asv215",0,0,9,425,0
"asv216",0,0,8,27,0
"asv217",0,0,0,309,0
"asv218",0,0,0,178,0
"asv219",0,0,0,182,0
"asv220",0,0,0,101,0
"asv221",0,0,0,59,0
"asv222",0,0,0,53,0
"asv223",0,0,0,31,0
"asv224",0,0,0,48,0
"asv225",0,0,0,24,0
"asv226",0,0,0,30,0
"asv227",0,0,0,16,0
"asv228",0,0,0,14,0
"asv229",0,0,0,13,0
"asv230",0,0,0,17,0
"asv231",0,0,0,12,0
"asv232",0,0,0,12,0
"asv233",0,0,0,12,0
"asv234",0,0,0,11,0
"asv235",0,0,0,11,0
"asv236",0,0,0,10,0
"asv237",0,0,0,22,0
"asv238",0,0,0,8,0
