"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv84","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa","Crouania"
"asv85","Eukaryota","Chlorophyta_ph","Trebouxiophyceae","Incertae_Sedis","Incertae_Sedis_fa","Actinastrum"
"asv86","Eukaryota","Parabasalia","Tritrichomonadea","Tritrichomonadea_or","Tritrichomonadea_fa","Dientamoeba"
"asv87","Bacteria","Bacteroidetes",NA,NA,NA,NA
"asv88","Eukaryota","Incertae_Sedis","Incertae_Sedis_cl","Incertae_Sedis_or","Incertae_Sedis_fa","Arboramoeba"
"asv89","Eukaryota","Chytridiomycota","Incertae_Sedis",NA,NA,NA
"asv90","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina"
"asv91","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"asv92","Eukaryota","Florideophycidae",NA,NA,NA,NA
"asv93","Bacteria","Actinobacteria","Actinobacteria","Micrococcales",NA,NA
"asv94","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"asv95","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA
"asv96","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA
"asv97","Bacteria","Firmicutes","Bacilli",NA,NA,NA
"asv98","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"asv99","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA
